,Name,Publisher,Author,Year
206,"Social Media and Democracy: The State of the Field, Prospects for Reform",Cambridge University Press,"Nathaniel Persily, Joshua A. Tucker",2020
207,"Mining the social web: data mining Facebook, Twitter, LinkedIn, Google+, GitHub, and more",O'Reilly Media,Matthew A. Russell,2013
208,"Designing Social Interfaces: Principles, Patterns, and Practices for Improving the User Experience (Animal Guide)",Yahoo Press / O'Reilly Media,"Christian Crumlish, Erin Malone",2009
209,How the world changed social media,UCL Press,"Daniel Miller, Elisabetta Costa, Nell Haynes, Tom McDonald, Razvan Nicolescu, Jolynna Sinanan, Juliano Spyer, Shriram Venkatraman, Xinyuan Wang",2016
210,"Disinformation, Misinformation, and Fake News in Social Media: Emerging Research Challenges and Opportunities",Springer International Publishing;Springer,"Kai Shu, Suhang Wang, Dongwon Lee, Huan Liu",2020
211,Basic Marketing Research: Integration of Social Media,Pearson,Naresh K. Malhotra,2011
212,#Republic: Divided Democracy in the Age of Social Media,Princeton University Press,Cass R. Sunstein,2017
213,Politics and Big Data: Nowcasting and Forecasting Elections with Social Media,Routledge,"Andrea Ceron, Luigi Curini, Stefano Maria Iacus",2017
214,"The Social Media Bible: Tactics, Tools, and Strategies for Business Success",Wiley,Lon Safko,2012
215,Applications of Social Media and Social Network Analysis,Springer International Publishing,"Przemysław Kazienko, Nitesh Chawla (eds.)",2015
216,LikeWar: the Weaponization of Social Media,Houghton Mifflin Harcourt,"Singer, P. W",2018
217,"Status Update: Celebrity, Publicity, and Branding in the Social Media Age",Yale University Press,Alice E. Marwick,2013
218,"Social Media: How to Engage, Share, and Connect",Rowman & Littlefield Publishers,Regina Luttrell,2018
219,Networks Without a Cause: A Critique of Social Media,Polity,Geert Lovink,2012
220,"The Origins of the Modern Chinese Press: The Influence of the Protestant Missionary Press in Late Qing China (Routledge Media, Culture and Social Change in Asia)",Xiantao Zhang,Xiantao Zhang,2007
221,"Social Media Marketing 2021-22: Beginner's Guide to Making Money Online. Become a Successful Influencer Through Youtube, Twitter, Facebook, Instagram and Linkedin Algorithms. Start Your Passive Income",Independently published,Digital Business Academy,2021
222,Get Social: Social Media Strategy and Tactics for Leaders,Kogan Page,Michelle Carvill,2018
223,"Social Media in Travel, Tourism and Hospitality: Theory, Practice and Cases",Ashgate Pub Co,"Marianna Sigala, Evangelos Christou, Ulrike Gretzel",2012
224,"Media Convergence Handbook - Vol. 1: Journalism, Broadcasting, and Social Media Aspects of Convergence",Springer-Verlag Berlin Heidelberg,"Artur Lugmayr, Cinzia Dal Zotto (eds.)",2016
225,The End of Marketing: Humanizing Your Brand in the Age of Social Media,Kogan Page,"Gil, Carlos",2021
226,Social Media Marketing All-in-One For Dummies,For Dummies,"Jan Zimmerman, Doug Shalin",2010
227,"No Bullshit Social Media: The All-Business, No-Hype Guide to Social Media Marketing",Que,"Jason Falls, Erik Deckers",2011
228,"Social Media Marketing,3 books in one: Excellent Tricks to Grow your business,Instagram Marketing to become a famous influencer,Tiktok and You Tube to make Viral Videos","Miller, Dave","Miller, Dave",2020
229,Memes to movements : how the world's most viral media is changing social protest and power,Beacon Press,An Xiao Mina,2019
230,"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",Shekhar mishra,Shekhar mishra,2018
231,Encyclopedia of Social Movement Media,"Sage Publications, Inc",Professor John D. H. Downing,2010
232,Mining Social Media: Finding Stories in Internet Data,No Starch Press,Lam Thuy Vo,2020
233,B2B-Online-Marketing und Social Media: Handlungsempfehlungen und Best Practices,Springer Fachmedien Wiesbaden;Springer Gabler,"Ralf T. Kreutzer, Andrea Rumler, Benjamin Wille-Baumkauff",2020
234,Understanding Media Cultures: Social Theory and Mass Communication 2nd Edition,Sage Publications Ltd,Nicholas Stevenson,2002
235,"Instagram Marketing For Business: How To Get More Targeted Followers And Build A Brand On Instagram (Social Media, Internet Marketing, Instagram Tips)",Martin Goodwin,Martin Goodwin,english
236,Branding Yourself: How to Use Social Media to Invent or Reinvent Yourself,Que Publishing,"Erik Deckers, Kyle Lacy",2012
237,Social Media Analytics for User Behavior Modeling: A Task Heterogeneity Perspective (Data-Enabled Engineering),CRC Press,"Arun Reddy Nelakurthi, Jingrui He",2020
238,Mastering Social Media Mining with Python,Packt Publishing,Marco Bonzanini,2016
239,Social Media Communication Data For Recovery: Detecting Socio-Economic Activities Following A Disaster,Springer,Yuya Shibuya,2020
240,Analyzing Social Media Networks with NodeXL: Insights from a Connected World,Morgan Kaufmann,"Derek Hansen Ph.D.  University of Michigan, Ben Shneiderman Ph.D.  SUNY at Stony Brook, Marc A. Smith Ph.D.  UCLA  Los Angeles  CA, Itai Himelboim Ph.D. - School of Journalism and Mass Communication  University of Minnesota",2019
241,Managing Online Reputation: How to Protect Your Company on Social Media,Palgrave Macmillan,Charlie Pownall,2015
242,"SMACing the Bank: How to Use Social Media, Mobility, Analytics and Cloud Technologies to Transform the Business Processes of Banks and the Banking Experience",Auerbach Publications;CRC Press,"Balaji Raghunathan, Rajashekara Maiya",2018
243,A Social History of the Media,"Peter Burke, Peter Burke","Peter Burke, Peter Burke",2020
244,Dark Persuasion: A History of Brainwashing from Pavlov to Social Media,Yale University Press,"Dimsdale, Joel E.",2021
245,The Networked Nonprofit: Connecting with Social Media to Drive Change,"Beth Kanter, Allison Fine","Beth Kanter, Allison Fine",2010
246,The End of Marketing: Humanizing Your Brand in the Age of Social Media,Kogan Page,"Gil, Carlos",2021
247,"Social Media Playbook for Business: Reaching Your Online Community with Twitter, Facebook, LinkedIn, and More",Praeger,Tom Funk,2011
248,"Social Media, Crisis Communication and Emergency Management: Leveraging Web 2.0 Technologies",CRC,Connie White,2016
249,Instagram als Marketing-Kanal: Die Positionierung ausgewählter Social-Media-Plattformen,VS Verlag für Sozialwissenschaften,"Manuel Faßmann, Christoph Moss (auth.)",2016
250,"The Psychology and Dynamics Behind Social Media Interactions (Advances in Psychology, Mental Health, and Behavioral Studies)",IGI Global,Malinda Desjarlais,2019
251,Deviance in Social Media and Social Cyber Forensics: Uncovering Hidden Relations Using Open Source Information (OSINF),Springer,"Samer Al-khateeb, Nitin Argawal",2019
252,Cases in Public Relations Management: The Rise of Social Media and Activism,Routledge,Patricia Swann,2014
253,"Successful Business Writing - How to Write Business Letters, Emails, Reports, Minutes and for Social Media - Improve Your English Writing and Grammar",Universe of Learning Ltd,Heather Baker,2013
254,"Translation and Social Media: In Theory, in Training and in Professional Practice",Palgrave Macmillan UK,Renée Desjardins (auth.),2017
255,The SAGE Handbook of Social Media,SAGE Publications,"Jean Burgess, Alice E. Marwick, Thomas Poell",2018
256,"Hacking into Social Media Marketing: Don't succumb to their algorithm changes, Fool Proof way to gain traffic at Zero Cost","Selvan, Prabhuram","Selvan, Prabhuram",2015
257,"Social Media Marketing: Strategien für Twitter, Facebook & Co.",O Reilly Verlag,Tamar Weinberg,2010
258,Handbook of Social Media Management: Value Chain and Business Models in Changing Media Markets,Springer-Verlag Berlin Heidelberg,"Mike Friedrichsen, Wolfgang Mühl-Benninghaus (auth.), Mike Friedrichsen, Wolfgang Mühl-Benninghaus (eds.)",2013
259,"Social Media for Government: A Practical Guide to Understanding, Implementing, and Managing Social Media Tools in the Public Sphere",Springer Singapore,Gohar F. Khan (auth.),2017
260,Understanding Social Media : How to Create a Plan for Your Business that Works,Kogan Page,"Ryan, Damian",2015
261,Culture and economy in the age of social media,Routledge,"Fuchs, Christian",2015
262,"BIFF: quick responses to high-conflict people, their personal attacks, hostile email and social media meltdowns",High Conflict Institute Press;Unhooked Books,"Eddy, William A",2014
263,301 Ways to Use Social Media To Boost Your Marketing,McGraw-Hill,Catherine Parker,2010
264,Strategic social media : from marketing to social change,Wiley-Blackwell,"Mahoney, L. Meghan, Tang, Tang",2016
265,The Qualified Self: Social Media and the Accounting of Everyday Life,The MIT Press,Lee Humphreys,2018
266,Instagram: Visual Social Media Cultures,Polity,"Tama Leaver, Tim Highfield, Crystal Abidin",2019
267,"Splunk Essentials: Leverage the power of Splunk to efficiently analyze machine, log, web, and social media data",Packt Publishing,Betsy Page Sigman,2015
268,Branding: What You Need to Know About Building a Personal Brand and Growing Your Small Business Using Social Media Marketing and Offline Guerrilla Tactics,Primasta,"Barlow, Chase",2020
269,Crack the Social Media Sales Code: Marketing Strategy Guide to Improve Sales Acceleration Formula to Better Business,"Aaron Cornwell [Cornwell, Aaron]","Aaron Cornwell [Cornwell, Aaron]",2016
270,"Big Data Analytics Using Splunk: Deriving Operational Intelligence from Social Media, Machine Data, Existing Data Warehouses, and Other Real-Time Streaming Sources",Apress,"Peter Zadrozny, Raghu Kodali",2013
271,DIY Social Media Content Strategy,CreateSpace Independent Publishing Platform,Astrid Haug,2015
272,"How To Go Viral and Reach Millions: Top Persuasion Secrets from Social Media Superstars, Jesus, Shakespeare, Oprah, and Even Donald Trump",Luminare Press,Joseph Romm,2018
273,The Crowdsourced Panopticon : Conformity and Control on Social Media,Rowman & Littlefield,Jeremy Weissman,2021
274,"The Digital Arts and Humanities: Neogeography, Social Media and Big Data Integrations and Applications",Springer International Publishing,"Charles Travis, Alexander von Lünen (eds.)",2016
275,Creator Culture: An Introduction to Global Social Media Entertainment,New York University Press,Stuart Cunningham and David Craig,2021
276,"The New Rules of Marketing and PR: How to Use Social Media, Blogs, News Releases, Online Video, and Viral Marketing to Reach Buyers Directly, 2nd Edition",John Wiley,David Meerman Scott,2010
277,"How We Win: How Cutting-Edge Entrepreneurs, Political Visionaries, Enlightened Business Leaders, and Social Media Mavens Can Defeat the Extremist Threat",Custom House,Farah Pandith,2019
278,50 things to know to market your self-published book using social media,50 Things to Know,Joseph Young,2014
279,Mining Social Media: Finding Stories in Internet Data,No Starch Press,Lam Thuy Vo,2019
280,Social Media Management: Technologies and Strategies for Creating Business Value,Springer International Publishing,Amy Van Looy (auth.),2016
281,"Cyberprotest: New Media, Citizens and Social Movements",W. Van De Donk,W. Van De Donk,2004
282,User-Generated Content and its Impact on Branding: How Users and Communities Create and Manage Brands in Social Media,Gabler Verlag,Severin Dennhardt (auth.),2014
283,"Social Media in Employee Selection and Recruitment: Theory, Practice, and Current Challenges",Springer International Publishing,"Richard N Landers, Gordon B Schmidt (eds.)",2016
284,Discourse of Twitter and social media [how we use language to create affiliation on the web],Bloomsbury,"Zappavigna, Michele",2015
285,Professione Social Media Manager,Hoepli,Veronica Gentili,2020
286,A Social History of the Media: From Gutenberg to the Internet,Polity,Asa Briggs and Peter Burke,2009
287,Social media branding for small business : the 5-sources model : a manifesto for your branding revolution,Business Expert Press,"Davis, Robert",2015
288,Social Media in China,Springer Singapore;Palgrave Macmillan,Wenbo Kuang,2018
289,Renegades write the rules : how the Digital Royalty use social media to innovate,Jossey-Bass ,Amy Jo Martin,2012
290,Managing Negative Word-of-Mouth on Social Media Platforms: The Effect of Hotel Management Responses on Observers’ Purchase Intention,Gabler Verlag,Ines Nee (auth.),2016
291,Disinformazia: La comunicazione al tempo dei social media,Marsilio,Francesco Nicodemo,2017
292,"Charisma: Conversation Skills, Influence, Social Skills, People Skills (Communication Skills, How To Talk To Anyone, Persuasion, How To Be Charismatic, Be Magnetic)",Pomodoro Media,"Gary Marshall [Marshall, Gary]",2014
293,"Global Chinese Cinema: The Culture and Politics of 'Hero' (Media, Culture and Social Change in Asia Series)",Routledge,"Gary D. Rawnsley, Ming-Yeh T. Rawnsley",2010
294,Social Media Measurement and Management: Entrepreneurial Digital Analytics,Routledge,Jeremy Harris Lipschultz,2019
295,"CRM at the Speed of Light: Social CRM 2.0 Strategies, Tools, and Techniques for Engaging Your Customers",McGraw-Hill Osborne Media,Paul Greenberg,2009
296,LIT: The Simple Protocol for Dental Photography in the Age of Social Media,QUINTESSENCE,MIGUEL A. ORTIZ,2019
297,"Social Media Marketing when you have NO CLUE!: Youtube, Instagram, Pinterest, Twitter, Facebook","Gabrielle, Gundi","Gabrielle, Gundi",2017
298,Follow me!: Erfolgreiches Social Media Marketing,Galileo Press,"Anne Grabs, Karim-Patrick Bannour",2011
299,"Pitch Perfect: Communicating with Traditional and Social Media for Scholars, Researchers, and Academic Leaders",Stylus Publishing,William Tyson,2010
300,Corporate Diversity Communication Strategy: An Insight Into American MNCs’ Online Communities And Social Media Engagement,Palgrave Macmillan,Roxana D. Maiorescu-Murphy,2020
301,"''Power of visual storytelling: how to use visuals, videos, and social media to market your brand''",McGraw-Hill Global Education,"Gioglio, Jessica, Walter, Ekaterina",2014
302,Social Media Marketing: Strategie E Tecniche Per Aziende B2B E B2C,HOEPLI EDITORE,"Guido Di Fraia [Fraia, Guido Di]",2015
303,The media and modernity: a social theory of the media,Polity Press,John Brookshire Thompson,1995
304,Internet: Technik – Nutzung – Social Media,Springer Berlin Heidelberg;Springer Vieweg,"Peter Bühler, Patrick Schlaich, Dominik Sinner",2019
305,"Social Media, Politics and the State: Protests, Revolutions, Riots, Crime and Policing in the Age of Facebook, Twitter and YouTube",Routledge,"Daniel Trottier, Christian Fuchs",2014
306,Researching language and social media: a student guide,Routledge,"Barton, David, Page, Ruth E., Unger, Johann Wolgang",2014
307,"Social media, organizational identity and public relations: the challenge of authenticity",Routledge,"Thurlow, Amy",2019
308,The Teen’s Guide to Social Media... and Mobile Devices: 21 Tips to Wise Posting in an Insecure World,Shiloh Run Press,Jonathan McKee,2017
309,Social Media Mining: An Introduction,CUP,"Zafarani R., Abbasi M.A., Liu H.",2014
310,The Representation of Islam and Muslims in the Media,School of Political and Social Inquiry of Monash University,"Shahram Akbarzadeh, Bianca Smith",2005
311,Communication in History: Stone Age Symbols to Social Media,"Routledge, Taylor & Francis","Peter Urquhart, Paul Heyer",2018
312,American Girls: Social Media and the Secret Lives of Teenagers,Knopf Doubleday Publishing Group,"Sales, Nancy Jo",2016
313,The Simplified Guide to Social Media Marketing for Novices and Dummies,Independently published,"Layla Wood [Wood, Layla]",2021
314,Curso de Marketing Digital (SOCIAL MEDIA) (Spanish Edition),ANAYA MULTIMEDIA,Miguel Ángel Florido,2019
315,Deceitful Media: Artificial Intelligence and Social Life after the Turing Test,Oxford University Press,Simone Natale,2021
316,"SOCIAL MEDIA MARKETING AND ONLINE BUSINESS 2021: Beyond 2020! Rise to the top of the Main eCommerce Platforms Using the Most Unscrupulous and Winning Tactics of Instagram, YouTube & Facebook.",ALLAN KANE,ALLAN KANE,2020
317,"Filling the Void: Emotion, Capitalism and Social Media",Repeater,Marcus Gilroy-Ware,2017
318,"No B.S. Guide to Direct Response Social Media Marketing: The Ultimate No Holds Barred Guide to Producing Measurable, Monetizable Results with Social Media Marketing",Entrepreneur Press,"Dan Kennedy, Kim Walsh-Phillips",2015
319,"The Dark Side of Social Media: Psychological, Managerial, and Societal Perspectives",Academic Press,James M. Honeycutt,2019
320,"Reverse Engineering Social Media: Software, Culture, and Political Economy in New Media Capitalism",Temple University Press,Robert W Gehl,2014
321,42 Rules for B2B Social Media Marketing. Learn Proven Strategies and Field-Tested Tactics through Real World Success...,Happy About;Super Star Press,"Michael Procopio, Peter Spielvogel, Natascha Thomson",2012
322,"Making Isometric Social Real-Time Games with HTML5, CSS3, and Javascript",O'Reilly Media,Mario Andres Pagella,2011
323,"Praxiswissen Online-Marketing: Affiliate- und E-Mail-Marketing, Suchmaschinenmarketing, Online-Werbung, Social Media, Facebook-Werbung",Gabler Verlag,Erwin Lammenett (auth.),2017
324,Social Media for Business Growth: The Essential Guide to Social Media for Businesses (360 Degree Marketing for Business Growth),#PrB.rating#0.0,"Scott Jones [Jones, Scott]",2021
325,"SOCIAL MEDIA MARKETING: Guida alle strategie di vendita per online marketing su Facebook e Instagram per imparare a promuovere prodotti, infoprodotti e ... products su Internet. (Italian Edition)",amazon,"Miller, Anna S.",italian
326,Secrets to Selling Books on Social Media: Social Media Marketing for Writers - How to Get Readers to Buy Your Book,Grace House Press,Bethany Atazadeh & Mandi Lynn,2021
327,How to Become Social Media Manager,JOHN JOHNSON,JOHN JOHNSON,2021
328,Protecting Children Online? Cyberbullying Policies Of Social Media Companies,The MIT Press,"Tijana Milosevic, Sonia Livingstone",2017
329,"Measure What Matters: Online Tools For Understanding Customers, Social Media, Engagement, and Key Relationships",Wiley,Katie Delahaye Paine,2011
330,"Internet Marketing: Millionaires In The Making: Using Sh Engine Optimization, Social Media, And More To Create An Online Business",CT Publishing,"Roland, Daniel",2015
331,Media And Social Representations Of Otherness: Psycho-Social-Cultural Implications,Springer,"Terri Mannarini, Giuseppe A. Veltri, Sergio Salvatore",2020
332,Influencer: Building Your Personal Brand in the Age of Social Media,Citadel Press,Brittany Hennessy,2018
333,Social Media for Business: 101 Ways to Grow Your Business Without Wasting Your Time,"Susan Sweeney CA  CSP  HoF, Randall Craig CFA  MBA  CMC","Susan Sweeney CA  CSP  HoF, Randall Craig CFA  MBA  CMC",2010
334,"Social Media: Become a Social Media Marketing Master: How to Easily Start Marketing on Facebook, Twitter, Instagram, YouTube & More","Jenkins, Alex","Jenkins, Alex",2016
335,"Inbound marketing: get found using Google, social media, and blogs",John Wiley & Sons,"Halligan, Brian, Shah, Dharmesh",2014
336,Social Media Marketing: The Next Generation of Business Engagement,Sybex,"Dave Evans, Susan Bratton, Jake McKee",2010
337,Social Media and the Internet,Rourke Publishing;Rourke Educational Media,Meg Greve,2013
338,"Gadget Consciousness: Collective Thought, Will and Action in the Age of Social Media",Pluto Press,Joss Hands,2019
339,No B.S. Guide to Direct Response Social Media Marketing,Entrepreneur Press,Dan S. Kennedy,2020
340,Social Media in Politics: Case Studies on the Political Power of Social Media,Springer International Publishing,"Bogdan Pătruţ, Monica Pătruţ (eds.)",2014
341,"The Power of Visual Storytelling: How to Use Visuals, Videos, and Social Media to Market Your Brand","Ekaterina Walter, Jessica Gioglio","Ekaterina Walter, Jessica Gioglio",2014
342,"Postfeminist Digital Cultures: Femininity, Social Media, and Self-Representation",Palgrave Macmillan US,Amy Shields Dobson (auth.),2015
343,Digital Influence Warfare in the Age of Social Media (Praeger Security International),Praeger Publishers Inc,James J. F. Forest,2021
344,"Social Evolution, Political Psychology, and the Media in Democracy",Palgrave Macmillan,"Beattie, Peter",2019
345,A Woman Like Her: The Story Behind the Honor Killing of a Social Media Star,Melville House,Sanam Maher,2020
346,Customer Service: New Rules for a Social Media World (Que Biz-Tech),Que,Peter Shankman,2010
347,Graph-based social media analysis,CRC Press,"Pitas, Ioannis",2016
348,ASWB Masters Exam Secrets Study Guide: ASWB Test Review for the Association of Social Work Boards Exam,Mometrix Media LLC,ASWB Exam Secrets Test Prep Team,2014
349,Social Media e Sentiment Analysis: L’evoluzione dei fenomeni sociali attraverso la Rete,Springer Milan,"Andrea Ceron, Luigi Curini, Stefano M. Iacus (auth.)",2014
350,"LA BIBBIA DEL SEO: Guida pratica all'ottimizzazione strategica per Google per ottenere traffico con Web Marketing, Social Media, Copywriting Online, Ecommerce ... (Online Marketing Vol. 1) (Italian Edition)",amazon,"Padovesi, Luigi",italian
351,Curso Especialista en publicidad digital y embudos de venta (SOCIAL MEDIA) (Spanish Edition),ANAYA MULTIMEDIA,Miguel Ángel Florido & Rubén Máñez & Cova Díaz & Carlos Pinzón & Antonio Ortega,2021
352,Application of Social Media in Crisis Management: Advanced Sciences and Technologies for Security Applications,Springer International Publishing,"Babak Akhgar, Andrew Staniforth, David Waddington (eds.)",2017
353,Image Testimonies Witnessing In Times Of Social Media,Routledge/,"Kerstin Schankweiler, Verena Straub, Tobias Wendl",2019
354,Visualizing the Data City: Social Media as a Source of Knowledge for Urban Planning and Management,Springer International Publishing,"Paolo Ciuccarelli, Giorgia Lupi, Luca Simeone (auth.)",2014
355,Getting a Social Media Job For Dummies,Wiley,"Brooks Briz, David Rose",2015
356,Social Media Law in a Nutshell,West Academic,"Ryan Garcia, Thaddeus A Hoffmeister",2017
357,Personal Relationships and Intimacy in the Age of Social Media,"Springer International Publishing,Palgrave Pivot",Cristina Miguel,2018
358,Social Media Marketing: Game Theory and the Emergence of Collaboration,Springer-Verlag Berlin Heidelberg,Eric Anderson (auth.),2010
359,Subjective Well-Being and Social Media,Chapman and Hall/CRC,S.M. Iacus & G. Porro,2022
360,The Routledge companion to social media and politics,Routledge,Axel Bruns (editor),2018
361,Mobile and Social Media Journalism: A Practical Guide for Multimedia Journalism,Routledge,Anthony Adornato,2021
362,Maximize Your Social: A One-Stop Guide to Building a Social Media Strategy for Marketing and Business Success,Wiley,Neal Schaffer,2013
363,Building an information security awareness program : defending against social engineering hacks,"Syngress Media Inc, Syngress, Elsevier Inc",Bill Gardner,2014
364,The Complete Social Media Community Manager's Guide: Essential Tools and Tactics for Business Success,Sybex,"Marty Weintraub, Lauren Litwinka",2013
365,Political Turbulence: How Social Media Shape Collective Action,Princeton University Press,"Helen Margetts, Peter John, Scott Hale, Taha Yasseri",2015
366,"Text und Konzeption im Content Marketing : Alle wichtigen Grundlagen für Print, Web, Corporate Blogs und Social Media",Springer Fachmedien Wiesbaden,Sandro Abbate (auth.),2017
367,Social Media and e-Diplomacy in China: Scrutinizing the Power of Weibo,"Palgrave Pivot, New York",Ying Jiang (auth.),2017
368,"Inbound Marketing: Get Found Using Google, Social Media, and Blogs (New Rules Social Media Series)",Wiley,"Brian Halligan, Dharmesh Shah",2009
369,Why Social Media is Ruining Your Life,Cassell Illustrated,Katherine Ormerod,2018
370,Advertising 2.0: Social Media Marketing in a Web 2.0 World,Praeger,Tracy L. Tuten,2008
371,"Follow me! Erfolgreiches Social Media Marketing mit Facebook, Instagram, LinkedIn und Co.",Rheinwerk Verlag,"Karim-Patrick Bannour, Anne Grabs, Elisabeth Vogl",2021
372,Working the Crowd: Social Media Marketing for Business,British Informatics Society Ltd,Eileen Brown,2010
373,Branding Yourself: How to Use Social Media to Invent or Reinvent Yourself,Que,"Erik Deckers, Kyle Lacy",2010
374,From Corporate to Social Media: Critical Perspectives on Corporate Social Responsibility in Media and Communication Industries,Routledge,Marisol Sandoval,2014
375,Social media warfare : equal weapons for all,CRC/Taylor & Francis; Auerbach Publications,"Erbschloe, Michael",2017
376,Graph-based Social Media Analysis; Volume in Chapman& Hall-CRC Data Mining and Knowledge Discovery Series – CRC-Taylor & Francis-Chapman & Hall,"Pitas I., (Ed.), (2016)","Pitas I., (Ed.), (2016)",english
377,"New Feminisms in South Asian Social Media, Film, and Literature: Disrupting the Discourse",Routledge,"Sonora Jha (editor), Alka Kurian (editor)",2017
378,The Politics of Social Media Manipulation,Amsterdam University Press,Richard Rogers and Sabine Niederer,2020
379,Big Data and Social Media Analytics: Trending Applications,Springer,"Mehmet Çakırtaş, Mehmet Kemal Ozdemir",2021
380,"Social Media Marketing, 3rd Edition (Quickstudy Business)",Quickstudy Reference Guides,Paul & Sarah Edwards,2021
381,"Optimize: How to Attract and Engage More Customers by Integrating SEO, Social Media, and Content Marketing",Wiley,Lee Odden,2012
382,"Sport Teams, Fans, and Twitter: The Influence of Social Media on Relationships and Branding",Lexington Books,Brandi Watkins,2018
383,"Programming Social Applications: Building Viral Experiences with OpenSocial, OAuth, OpenID, and Distributed Web Frameworks",O'Reilly Media,Jonathan LeBlanc,2011
384,Die Geheimnisse erfolgreichen YouTube-Marketings: Von YouTubern lernen und Social Media Chancen nutzen,Springer Berlin Heidelberg,"Marc Oliver Opresnik, Oguz Yilmaz (auth.)",2016
385,"Virtual and Augmented Reality, Simulation and Serious Games for Education (Gaming Media and Social Effects)",Springer,"Yiyu Cai (editor), Wouter van Joolingen (editor), Koen Veermans (editor)",2021
386,Mastering Social Media Mining with R: Extract valuable data from your social media sites and make better business decisions using R,Packt Publishing,"Sharan Kumar Ravindran, Vikram Garg",2015
387,The End of Forgetting: Growing Up with Social Media,Harvard University Press,Kate Eichhorn,2019
388,"Social Media Marketing when you have NO CLUE!: Youtube, Instagram, Pinterest, Twitter, Facebook (Influencer Fast Track Series 5)","Gundi Gabrielle [Gabrielle, Gundi]","Gundi Gabrielle [Gabrielle, Gundi]",2017
389,Ultimate Guide to Social Media Marketing,Entrepreneur Press,Eric Butow,2020
390,Do SEO content marketing competitor research PPC and social media marketing from just one platform,semrush ,semrush,2020
391,Social Media Engagement For Dummies,For Dummies,"Aliza Sherman, Danielle Elliott Smith",2013
392,The citizen marketer : promoting political opinion in the social media age,Oxford University Press,"Penney, Joel",2017
393,"Zehn Gründe, warum du deine Social Media Accounts sofort löschen musst (German Edition)",Jaron Lanier,Jaron Lanier,2018
394,Influencer: Building Your Personal Brand in the Age of Social Media,Citadel Press,Brittany Hennessy,2018
395,Social Media as a Space for Peace Education: The Pedagogic Potential of Online Networks,Palgrave Macmillan,"M. Ayaz Naseem, Adeela Arshad-Ayaz",2020
396,"How to Make Money Online 7 in 1 Box Set: Make Money Online, Social Media, Instagram, Etsy, Amazon FBA, Habit Stacking Project and Google Drive",UNKNOWN,"Hunter, Frank & Jones, David & Jones, Olivia & Brown, Donald & Coleman, Tyler & Robinson, Noah",2016
397,"History, Disrupted: How Social Media and the World Wide Web Have Changed the Past",Palgrave Macmillan,Jason Steinhauer,2021
398,The Technology of Nonviolence: Social Media and Violence Prevention,The MIT Press,"Joseph G. Bock, John Paul Lederach",2012
399,"50 Digital Team-Building Games. Fast, Fun Meeting Openers, Group Activities and Adventures using Social Media,...",John Wiley & Sons;Wiley,John Chen,2012
400,"2011 Social Media Directory: The Ultimate Guide to Facebook, Twitter, and LinkedIn Resources",Que Publishing,Jeffery A. Riley,2010
401,Der Social-Media-Zyklus: Schritt für Schritt zum systematischen Social-Media-Management im Unternehmen,"Springer Fachmedien Wiesbaden,Springer Gabler",Alexander Decker,2019
402,The Public and Their Platforms: Public Sociology in an Era of Social Media,Bristol University Press,Mark Carrigan and Lambros Fatsis,2021
403,Abenteuer Informatik: IT zum Anfassen für alle von 9 bis 99 – vom Navi bis Social Media,Springer-Verlag Berlin Heidelberg,Jens Gallenbacher (auth.),2017
404,"Mining the Social Web: Analyzing Data from Facebook, Twitter, LinkedIn, and Other Social Media Sites",O'Reilly Media,Matthew A. Russell,2011
405,Critical Perspectives on Social Media and Protest: Between Control and Emancipation,Rowman & Littlefield International,"Lina Dencik, Oliver Leistert",2015
406,"Social Media Law for Business: A Practical Guide for Using Facebook, Twitter, Google +, and Blogs Without Stepping on Legal Land Mines",McGraw-Hill,Glen Gilmore,2015
407,"The New Rules of Marketing & PR : How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly",John Wiley & Sons,David Meerman Scott,2011
408,L'Histoire est une littérature contemporaine . Manifeste pour les sciences sociales: Manifeste pour les sciences sociales,Média Diffusion,Ivan Jablonka,2014
409,Digital Dilemmas: Exploring Social Media Ethics In Organizations,Palgrave Macmillan,Øyvind Kvalnes,2020
410,"Wanghong as Social Media Entertainment in China (Palgrave Studies in Globalization, Culture and Society)",Palgrave Macmillan,"David Craig, Jian Lin, Stuart Cunningham",2021
411,Digital Activism in the Social Media Era: Critical Reflections on Emerging Trends in Sub-Saharan Africa,Palgrave Macmillan,Bruce Mutsvairo (eds.),2016
412,Influencer-Marketing: Informationspflichten bei Werbung durch Meinungsführer in Social Media,Springer Fachmedien Wiesbaden,Peter J. Fries,2019
413,"The Social Media Bible: Tactics, Tools, and Strategies for Business Success",Wiley,"Lon Safko, David K. Brake",2009
414,Social Media and Local Governments: Theory and Practice,Springer International Publishing,Mehmet Zahid Sobaci (eds.),2016
415,New Money: How Payment Became Social Media,Yale University Press,Lana Swartz,2020
416,"Make Money Online: Fiverr: Complete Step-by-Step Guide to Make a Full Time Income! (How To Make Money Online, Quit Your Job, Entrepreneur, Internet Marketing, Social Media Marketing, Passive Income)","Andrew Flynn [Flynn, Andrew]","Andrew Flynn [Flynn, Andrew]",2016
417,Social Media Campaigns: Strategies for Public Relations and Marketing,Routledge,Carolyn Mae Kim,2020
